"","id","evidence","claim","label","topic_ip","question"
"153",7348,"For NSAIDs, there is no clear scientific evidence linking ibuprofen and other NSAIDs to worsening of COVID-19; however, it seems prudent to continue them, if necessary to control pericarditis, and on the other hand, to prefer paracetamol for fever and systemic symptoms related to COVID-19.","there is no scientifc evidence that ibuprofen and other drugs like it, can make you sicker if you have covid-19","Supports",69,"Can taking medication to lower fever, such as paracetamol (tylenol) and ibuprofen (advil) worsen COVID-19?"
"154",14134,"At this point, the data here presented on hydroxychloroquine either alone or combined with azithromycin (together with previously reported in vivo data in macaques and ferrets) provide no scientific basis for further use of the drug in humans.","Several new and repurposed drugs are being tested for their effectiveness in the treatment regime, and the development of vaccines is underway.","Neutral",5,"are there any drugs that work for SARS-CoV or SARS-CoV-2 in animals?"
"155",3086,"The available evidence suggests that CQ or HCQ does not improve clinical outcomes in COVID-19.","hydroxychloroquine has not worked in treating COVID-19","Supports",28,"does hydroxychloroquine treat COVID-19?"
"156",13649,"Thus both qualitative and quantitative features of B and T cell immunity to spike constitute informative biomarkers of the protective potential of novel SARS-CoV-2 vaccines.","immune system response varies between patients","Neutral",3,"will SARS-CoV2 infected people develop immunity?"
"157",9122,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)--the virus that causes coronavirus disease (COVID-19)--has been detected in domestic dogs and cats, raising concerns of transmission from, to, or between these animals.","Coronavirus: No proof yet that pets can get COVID-19 from owners","Refutes",95,"Can animals spread COVID-19 to people?"
"158",13967,"There is no therapeutic FDA-approved drug against SARS-CoV-2 infection, although a combination of anti-viral drugs is directly being practiced in some countries. ","in vivo preclinical results with favipiravir which indicate that antiviral efficacy against SARS-CoV-2 might only be achieved with a very high dose.","Neutral",5,"are there any drugs that work for SARS-CoV or SARS-CoV-2 in animals?"
"159",4794,"Although COVID-19 can be rapidly diagnosed, efficient clinical treatment of COVID-19 remains unavailable, resulting in high fatality.","taking vitamin D supplements could help boost the immune system, an essential piece of the puzzle in terms of how serious Covid-19 can be. ","Neutral",51,"Does Vitamin C impact COVID-19 prevention and treatment?"
"160",14057,"Thus, our goal is to test the most active antivirals identified in adequate animal models infected with SARS-CoV-2, to add more information about possible in vivo efficacy. In turn, successful antivirals could be tested in clinical trials as treatments for infected patients, but also as pre-exposure prophylaxis to avoid novel infections until an effective and safe vaccine is developed.","COVID-19 disease, caused by SARS-CoV-2, is known to have three phases of the disease, that of early infection, the lung phase, and the severe hyperinflammatory phase. However, SARS-CoV-2 is not only a lung-tropic virus but also infects the gut cells and vascular endothelium. ","Neutral",5,"are there any drugs that work for SARS-CoV or SARS-CoV-2 in animals?"
"161",4149,"In Middle East, the recovery rate (r= 0.267) and mortality rate (r= -0.217) showed a medium correlation.","patients with sufficient vitamin D levels had lower risk of death or severe COVID-19 complications.","Supports",42,"Does Vitamin D impact COVID-19 prevention and treatment?"
"162",8960,"Several hospitals in different countries have detected SARS-CoV-2 RNA in the semen and cerebrospinal fluid of patients with severe COVID-19.","Inflammatory disorders like Covid-19 tend to be very catabolic, meaning that as your immune system revs up to fight the infection, your metabolism increases as well.","Neutral",93,"Are you immune to COVID-19 after recovering from it?"
"163",6272,"In Unani medicine, during an epidemic, apart from isolation and quarantine, three measures are of utmost importance, (i) purification of surroundings using certain herbal drugs as fumigants or sprays, (ii) health promotion and immune-modulation, and (iii) use of health-protecting drugs and symptom-specific drugs. Drugs such as loban (Styrax benzoides W. G. Craib), sandroos (Hymenaea verrucosa Gaertn.) za'fran (Crocus sativus L.), vinegar etc. are prescribed in various forms.","Some people claim taking apple cider vinegar for kidney stones can help dissolve current stones and prevent future ones.","Refutes",60,"Can vinegar help in preventing COVID-19?"
"164",13400,"The number of these epitopes and the prevalence of the common coronaviruses suggest that a large part of the world population has some degree of specific immunity against SARS-CoV-2 already, even without having been infected by that virus.","young men with severe COVID-19 had mutations in the gene for a certain cell receptor. This receptor, some researchers suspect, grows scarcer as we age.","Neutral",3,"will SARS-CoV2 infected people develop immunity?"
"165",8552,"Our results indicate that surgical face masks could prevent transmission of human coronaviruses and influenza viruses from symptomatic individuals.","there is no effect of either surgical or fabric masks on reducing SARS-CoV-2 spread.","Refutes",82,"Can face masks protect me from the coronavirus disease?"
"166",2609,"Anosmia and ageusia as primary symptoms of COVID-19","Once a person has contracted coronavirus, it can take 2-14 days for symptoms to appear. The average incubation period appears to be roughly 5-6 days.","Neutral",26,"what are the early symptoms of COVID-19?"
"167",4888,"The majority of documents encouraged the consumption of fruits, vegetables, and whole grain foods. Thirty-one percent of the guidelines highlighted the importance of minerals and vitamins such as zinc and vitamins C, A, and D to maintain a well-functioning immune system.","there is a link between [vitamin K] deficiency and the worst coronavirus outcomes","Neutral",51,"Does Vitamin C impact COVID-19 prevention and treatment?"
"168",4943,"Dietary supplementation has not been linked to COVID-19 prevention.","While there is no clear evidence that vitamin C is capable of treating patients with coronavirus, maintaining vitamin C levels in the body could help manage the symptoms.","Supports",51,"Does Vitamin C impact COVID-19 prevention and treatment?"
"169",1868,"Discussion: The combined social distancing measures implemented by the Greek authorities within the first few weeks after the first confirmed case of the virus reduced the COVID-19 growth rate.","social distancing involves staying away from other people in order to avoid catching or spreading a virus","Supports",10,"has social distancing had an impact on slowing the spread of COVID-19?"
"170",8991,"To date, understanding whether acquired immunity and presence of anti SARSCov2 antibodies protects against reinfection is one the most important focus of the scientific community","our immune response to this particular disease is not yet clearly understood: Patients with MERS-CoV infection are unlikely to be reinfected shortly after they recover, but it is not yet known whether similar immune protection will be observed for patients with COVID-19.","Neutral",93,"Are you immune to COVID-19 after recovering from it?"
"171",9922,"Such transmission could be reduced by surgical mask usage, especially when masks were worn by infected individuals.","Does A Cloth Mask Protect Me From COVID-19? Yes ","Supports",125,"Does a surgical mask help avoid COVID-19?"
"172",10066,"Scientists now report that SARS-CoV-2, the virus that causes COVID-19, doesnt do a good job of copying itself in dogs, pigs, chickens, and ducks But cats are susceptible to the virus and can give it to one another via airborne transmission","The chance of your pet catching the coronavirus from you or another pet in the neighborhood is low,","Supports",134,"Can pets get the coronavirus disease?"
"173",9072,"There are now many reports of SARS-CoV-2 positive cases in dogs, cats, tigers, lion, and minks. Experimental data showed ferrets and cats are highly susceptible to SARS-CoV-2 as infected by virus inoculation and can transmit the virus directly or indirectly by droplets or airborne route.","Further studies are needed to understand if and how different animals could be affected by the virus and the role animals may play in the spread of COVID-19. ","Supports",95,"Can animals spread COVID-19 to people?"
"174",4743,"Although COVID-19 can be rapidly diagnosed, efficient clinical treatment of COVID-19 remains unavailable, resulting in high fatality.","vitamin D deficiency increases the risk of COVID-19 complications and deaths","Neutral",51,"Does Vitamin C impact COVID-19 prevention and treatment?"
"175",12247,"the association between DM and COVID-19-induced severe complications is still unclear","Should all diabetics be labeled 'high risk' for COVID-19? Maybe not","Supports",24,"what kinds of complications related to COVID-19 are associated with diabetes"
"176",10385,"The contaminated surface environment in hospitals plays an important role in the transmission of several key nosocomial pathogens including methicillin-resistant Staphylococcus aureus, vancomycin-resistant Enterococcus spp., Clostridium difficile, Acinetobacter spp., and norovirus.","The sunlight has a huge impact on decaying the coronavirus","Neutral",16,"touching a contaminated surface will not make you sick"
"177",12005," consistent reports of cardiac injury and de novo cardiac complications, including possible myocarditis, arrhythmia, and heart failure in patients without prior cardiovascular disease or significant risk factors, are emerging","The effects of COVID-19 on the lungs are well-known. As the COVID-19 pandemic continues, more information is becoming available about the role the virus, called SARS-CoV-2, has on the heart.","Supports",22,"are heart complications likely in patients with COVID-19?"
"178",6077,"Lack of specific drug molecules or treatment strategy against this disease makes it more devastating. Thus, there is an urgent need of effective drug molecules to fight against COVID-19.","drinking tea may help prevent novel coronavirus infections has raised questions among the public and academics.","Refutes",58,"Can drinking hot green tea help in preventing COVID-19?"
"179",7566,"At this time, there is no supporting evidence to discourage the use of ibuprofen.","Is it true that using ibuprofen has been shown to worsen symptoms of Coronavirus? the short answer is NO","Supports",69,"Can taking medication to lower fever, such as paracetamol (tylenol) and ibuprofen (advil) worsen COVID-19?"
"180",2345,"The decentralized strategy is insufficient when used alone, but offers the best results when combined with the centralized one. Indeed, the (C+D) is the most efficient isolation strategy at mitigating the network superspreaders and reducing the highest node degrees to less than 10% of their initial values.","The virus is traveling through the air and there is no bright line. You're not safe beyond 6 feet. You can't take your mask off at 6 feet.","Refutes",10,"has social distancing had an impact on slowing the spread of COVID-19?"
"181",12776,"In this study, we collected blood from COVID-19 patients who have recently become virus-free and therefore were discharged, and analyzed their SARS-CoV-2-specific antibody and T cell responses. We observed SARS-CoV-2-specific humoral and cellular immunity in the patients. Both were detected in newly discharged patients, suggesting both participate in immune-mediated protection to viral infection.","Some COVID-19 Patients' Immune Systems Turn Deadly The immune system is there to help us fight infection, but sometimes it wreaks more havoc than the disease itself.","Neutral",3,"will SARS-CoV2 infected people develop immunity?"
"182",13228,"The number of these epitopes and the prevalence of the common coronaviruses suggest that a large part of the world population has some degree of specific immunity against SARS-CoV-2 already, even without having been infected by that virus.","In patients with both COVID-19 and cancer, immunotherapy might increase the immune system response, which could already be overactive because of the COVID-19 infection.","Neutral",3,"will SARS-CoV2 infected people develop immunity?"
"183",5576,"The adjusted rates ratio of COVID-19 confirmed cases for Current BCG vaccination vs. non-Current BCG vaccination was 0.339 (with 95% CI= (0.338,0.340)). ","BCG: Can a vaccine from 1921 save lives from Covid-19? The vaccine was designed to stop tuberculosis, but there is some evidence it can protect against other infections as well.","Supports",54,"can bcg vaccine cure covid-19"
"184",6650,"Cellular angiotensin converting enzyme 2 (ACE2) is the receptor of SARS-CoV-2 which is identical or similar in different species of animals such as pigs, ferrets, cats, orangutans, monkeys, and humans. Moreover, a recent study predicted that dog might be secondary host during the evolution of SARS-CoV-2 from bat to human. Therefore, there is a possibility of spreading SARS-CoV-2 through domestic pets.","A small number of pets worldwide, including cats and dogs, have been reported to be infected with the virus that causes COVID-19","Supports",67,"Can animals spread COVID-19?"
"185",4576,"CONCLUSION The use of IV vitamin C in patients with moderate to severe COVID-19 disease may be feasible.","It is possible that a person can get COVID-19 by touching a surface or object, including food or food packaging, that has the virus on it and then touching their own mouth, nose, or possibly their eyes. However, this is not thought to be the main way the virus spreads.","Neutral",51,"Does Vitamin C impact COVID-19 prevention and treatment?"
"186",11729,"Patients who take ACEIs and ARBS may be at increased risk of severe disease outcomes due to SARS-CoV-2 infections.","People taking two very commonly used types of drugs for high blood pressure are at no heightened risk, as has been feared, for complications of COVID-19.","Refutes",20,"are patients taking Angiotensin-converting enzyme inhibitors (ACE) inhibitors at increased risk for COVID-19?"
"187",3831,"Several studies demonstrated the role of vitamin D in reducing the risk of acute viral respiratory tract infections and pneumonia. These include direct inhibition with viral replication or with anti-inflammatory or immunomodulatory ways. In the meta-analysis, vitamin D supplementation has been shown as safe and effective against acute respiratory tract infections. Thus, people who are at higher risk of vitamin D deficiency during this global pandemic should consider taking vitamin D supplements to maintain the circulating 25(OH)D in the optimal levels (75-125nmol/L).","taking vitamin D would reduce COVID-19 hospitalisations","Supports",42,"Does Vitamin D impact COVID-19 prevention and treatment?"
"188",11102,"However, low quality evidence suggests that N95 respirators protect HCWs from clinical respiratory infections.","Masks can become contaminated very quickly, and every time the wearer breathes in, they inhale contaminants","Refutes",18,"what are the best masks for preventing infection by Covid-19?"
"189",8376,"2) addresses controversies surrounding the mask from perspectives of attitude, effectiveness, and necessity of wearing the mask with evidence that the use of mask would effectively interrupt the transmission of infectious diseases in both hospital settings and community settings;","A more specialized mask, known as an N95 respirator, can protect against the new coronavirus, also called SARS-CoV-2.","Supports",82,"Can face masks protect me from the coronavirus disease?"
"190",9936,"To determine the risk of SARS-CoV-2 transmission by aerosols, to provide evidence on the rational use of masks, and to discuss additional measures important for the protection of healthcare workers from COVID-19. ","surgical masks are effective barriers in preventing people from discharging infectious particles, at least quantity-wise.","Neutral",125,"Does a surgical mask help avoid COVID-19?"
"191",9614,"Epidemiological, clinical and immunological studies from COVID-19 recovered patients are particularly important to understand the disease and to prepare better for potential outbreaks in the future.","Recovery from COVID-19 can be especially difficult if you were admitted to an intensive care unit (ICU). ","Neutral",114,"Can people recover from COVID-19?"
"192",1360,"Each 1 C rise of temperature was associated with a 4.8951% (t = 2.29, p = 0.0226) decrease in the number of daily cumulative confirmed cases of COVID-19","long-term exposure to PM2.5 air pollution may spread the coronavirus","Neutral",2,"how does the coronavirus respond to changes in the weather"
"193",9023,"Contrary to this picture, we describe a case of a patient recovered from COVID19 pneumonia with positive serology, followed up by 6 negative nasopharyngeal swabPCR tests performed along 1 month, who later on, after exposure to the virus, presented another positive RTPCR test and a second IgM seroconversion.","reinfection can occur a few months after recovering from an initial bout of COVID-19.","Supports",93,"Are you immune to COVID-19 after recovering from it?"
"194",12548,"The CD4 + memory exploiting could help immune system to recall immunity of already know antigens against coronaviruses, avoiding or limiting ""lung crash"" until virus specific immunity develops and making it faster and prolonged. Finally, this administration could be helpful not only in already infected patients, but also before infection. In fact, people could have an immune system more ready when the contact with the Covid-19 will occur.","People infected with the coronavirus carry immune cells known as T cells that help the body fight off the infection","Neutral",3,"will SARS-CoV2 infected people develop immunity?"
"195",7677,"There are clearly COVID-19 cases where NSAIDs should not be used, but there is no strong evidence that NSAIDs must be avoided in all patients with COVID-19;","If you're uncomfortable, take acetaminophen (Tylenol, others), ibuprofen (Advil, Motrin IB, others) or aspirin","Neutral",69,"Can taking medication to lower fever, such as paracetamol (tylenol) and ibuprofen (advil) worsen COVID-19?"
"196",3150,"Currently, there is not any specific effective antiviral treatment for COVID-19.","Vaccines and treatment options for COVID-19 are currently being investigated around the world. There's some evidence that certain medications may have the potential to be effective with regard to preventing illness or treating the symptoms of COVID-19.","Neutral",30,"is remdesivir an effective treatment for COVID-19?"
"197",5990,"Amongst them, a popular theory has linked 5G to the spread of COVID-19, leading to misinformation and the burning of 5G towers in the United Kingdom.","[COVID-19] is an organic infection that is based on a living viral agent,. It's not something you can link with any kind of technology. ","Supports",56,"Can 5G technology cause COVID-19?"
"198",1476,"Compared to the recovered group, more patients in the death group exhibited characteristics of advanced age, pre-existing comorbidities, dyspnea, oxygen saturation decrease, increased WBC count, decreased lymphocytes, and elevated CRP levels.","Although most people with COVID-19 have mild to moderate symptoms, the disease can cause severe medical complications and lead to death in some people. Older adults or people with existing chronic medical conditions are at greater risk of becoming seriously ill with COVID-19 .","Supports",4,"how do people die from the coronavirus?"
"199",10858,"the tested bacteria favor lower temperatures for their survival in dry environments","Depending on the material, the coronavirus can last on surfaces like countertops and doorknobs anywhere from several hours to days.","Neutral",16,"touching a contaminated surface will not make you sick"
"200",3199,"There are significant differences in the clinical and laboratory courses between COVID-19 and influenza.","Covid-19 is more likely to kill than flu.","Supports",31,"How does the coronavirus differ from seasonal flu?"
"201",3766,"A significant negative correlation (p=0.033) has been observed between mean vitamin D levels and COVID-19 cases per one million population in European countries.","Vitamin D supplements can help avoid COVID-19 infection.","Supports",42,"Does Vitamin D impact COVID-19 prevention and treatment?"
"202",4420,"Notably, masks are found to be useful with respect to both preventing illness in healthy persons and preventing asymptomatic transmission. Hypothetical mask adoption scenarios, for Washington and New York state, suggest that immediate near universal (80%) adoption of moderately (50%) effective masks could prevent on the order of 17--45% of projected deaths over two months in New York, while decreasing the peak daily death rate by 34--58%, absent other changes in epidemic dynamics. Even very weak masks (20% effective) can still be useful if the underlying transmission rate is relatively low or decreasing: In Washington, where baseline transmission is much less intense, 80% adoption of such masks could reduce mortality by 24--65% (and peak deaths 15--69%), compared to 2--9% mortality reduction in New York (peak death reduction 9--18%).","Do COVID-19 Face Masks Work If Kids Can't Stop Touching them? Yes, masks are still effective in preventing the spread of COVID-19, even if children keep touching them. ","Supports",44,"How much impact do masks have on preventing the spread of the COVID-19?"
"203",2437,"social distancing is associated with a statistically-significant reduction in the doubling rate for all but three states.","People who are physically near (within 6 feet) a person with COVID-19 or have direct contact with that person are at greatest risk of infection.","Supports",10,"has social distancing had an impact on slowing the spread of COVID-19?"
"204",12616,"Distinguishing pre-existing and de novo antibody responses to SARS-CoV-2 will be critical for serology, seroprevalence and vaccine studies, as well as for our understanding of susceptibility to and natural course of SARS-CoV-2 infection.","People with untreated vitamin D deficiency are more likely to test positive for the COVID-19","Neutral",3,"will SARS-CoV2 infected people develop immunity?"
"205",5842,"Is drinking a healthy way of coping? No.","drinking whisky can protect against COVID-19 infection.","Refutes",55,"Can drinking alcohol help in preventing COVID-19?"
"206",4253,"COVID-19, caused by SARS-CoV2 is a rapidly spreading global pandemic. Although precise transmission routes and dynamics are unknown, SARS-CoV2 is thought primarily to spread via contagious respiratory droplets.","Do COVID-19 Face Masks Work If Kids Can't Stop Touching them? Yes, masks are still effective in preventing the spread of COVID-19, even if children keep touching them. ","Neutral",44,"How much impact do masks have on preventing the spread of the COVID-19?"
"207",4433,"Our results suggest use of face masks by the general public is potentially of high value in curtailing community transmission and the burden of the pandemic. The community-wide benefits are likely to be greatest when face masks are used in conjunction with other non-pharmaceutical practices (such as social-distancing), and when adoption is nearly universal (nation-wide) and compliance is high.","nonpharmaceutical interventions (NPIs) - such as lockdowns, closures, travel restrictions, stay-home orders, event bans, quarantines, curfews, and mask mandates - do not seem to affect COVID-19 transmission rates overall. ","Refutes",44,"How much impact do masks have on preventing the spread of the COVID-19?"
"208",1402,"Preliminary observations from our team and others suggest that temperature and climatological factors could influence the spread of this novel coronavirus","Many diseases, such as the flu, are seasonal, with cases spiking when the weather is cool and dry.","Supports",2,"how does the coronavirus respond to changes in the weather"
"209",11188,"Most hospitals have implemented universal masking for their healthcare workers, and the Center for Disease Control currently advises even the general public to wear cloth masks when outdoors. The pertinent need for masks arises from plausible dissemination of the SARS-CoV-2 through close contacts, as well as the possibility of virus transmission from asymptomatic, pre-symptomatic, and mildly symptomatic individuals.","The best way to prevent the spread of infections and decrease the risk of getting sick is by washing your hands with plain soap and water,","Neutral",18,"what are the best masks for preventing infection by Covid-19?"
"210",13741,"Knowledge of the molecular mechanisms of viral cycles and immunity is an important prerequisite for the development of vaccination strategies and development of effective drugs.","Some COVID-19 Patients' Immune Systems Turn Deadly The immune system is there to help us fight infection, but sometimes it wreaks more havoc than the disease itself.","Neutral",3,"will SARS-CoV2 infected people develop immunity?"
"211",1139,"In the southern cities, the ambient temperature and air pollution have a negative interactive effect on COVID-19 transmission, implying that rising temperature restrains the facilitating effects of air pollution and that they jointly lead to a decrease in new confirmed cases.","heaters can spread the coronavirus","Neutral",2,"how does the coronavirus respond to changes in the weather"
"212",13682,"Knowledge of the molecular mechanisms of viral cycles and immunity is an important prerequisite for the development of vaccination strategies and development of effective drugs.","A cytokine storm becomes an all-too-frequent phenomenon, particularly among the young. But treatments are being tested.","Neutral",3,"will SARS-CoV2 infected people develop immunity?"
"213",9972,"We showed that heat inactivation significantly interferes with the levels of antibodies to SARS-CoV-2. The IgM levels of all the 34 serum samples (100%) from COVID-19 patients decreased by an average level of 53.56%. The IgG levels were decreased in 22 of 34 samples (64.71%) by an average level of 49.54%.","using a dryer may be better than hanging the clothes to dry because the heat may also help inactivate any viral microbes.","Supports",129,"Does heat prevent COVID-19?"
"214",11480,"The ongoing COVID19 pandemic has made various challenges for communications all over the world. Nowadays hand hygiene practices with alcohol sanitizers are an unavoidable reality for many people, which cause skin dryness and flaking.","hand sanitizer is the key to avoiding any infectious disease","Neutral",19,"what hand sanitizers kill COVID-19?"
"215",1618,"Respiratory failure has been cited as the major cause of death","94% of individuals with additional causes of death still had COVID-19","Neutral",4,"how do people die from the coronavirus?"
"216",8442,"and 3) provides suggestion that the public should wear the mask during COVID-19 pandemic according to local context.","Using masks in public may help reduce the spread from people who don't have symptoms. Non-medical cloth masks are recommended for the public. Surgical masks and N-95 respirators are in short supply and should be reserved for health care providers.","Supports",82,"Can face masks protect me from the coronavirus disease?"
"217",1467,"Compared to the recovered group, more patients in the death group exhibited characteristics of advanced age, pre-existing comorbidities, dyspnea, oxygen saturation decrease, increased WBC count, decreased lymphocytes, and elevated CRP levels.","In many critically ill coronavirus patients, ARDS (acute respiratory distress syndrome) is a common cause of death related to COVID-19","Supports",4,"how do people die from the coronavirus?"
"218",5440,"This study 1) illustrates transmission routes of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2); 2) addresses controversies surrounding the mask from perspectives of attitude, effectiveness, and necessity of wearing the mask with evidence that the use of mask would effectively interrupt the transmission of infectious diseases in both hospital settings and community settings; and 3) provides suggestion that the public should wear the mask during COVID-19 pandemic according to local context.","The coronavirus isn't real, so masking isn't necessary","Refutes",53,"Can wearing masks help in preventing the spread of the coronavirus disease?"
"219",13210,"The number of these epitopes and the prevalence of the common coronaviruses suggest that a large part of the world population has some degree of specific immunity against SARS-CoV-2 already, even without having been infected by that virus.","Coronavirus can harm your body even if you're asymptomatic","Neutral",3,"will SARS-CoV2 infected people develop immunity?"
"220",3611,"testing positive for COVID-19 was associated with increasing age(RR(age<50)=1.05,p<0.021;RR(age[]50)=1.02,p<0.064)), non-white race(RR=2.54,p<0.01) and being likely vitamin D deficient (deficient/treatment-not-increased:RR=1.77,p<0.02) as compared to likely vitamin D sufficient(not-deficient/treatment-not-decreased), with predicted COVID-19 rates in the vitamin D deficient group of 21.6%(95%CI[14.0%-29.2%] ) versus 12.2%(95%CI[8.9%-15.4%]) in the vitamin D sufficient group.","Vitamin D can help combat the coronavirus","Supports",42,"Does Vitamin D impact COVID-19 prevention and treatment?"
"221",5865,"5G communication technology has the characteristics of faster speed, shorter time delay and denser capacity. In COVID-19 epidemic prevention and control work, it can further improve the efficiency of doctors&apos; diagnosis, improve patients&apos; medical experience, realize the remote sharing of high-quality medical resources and real-time information exchange, effectively block the spread of epidemic, alleviate the shortage of medical resources and medical staff, and make the epidemic prevention and control more efficient.","Different variants of the theory exist. Some assume that not the coronavirus but 5G radiation is the real cause of COVID-19","Refutes",56,"Can 5G technology cause COVID-19?"
"222",7300,"For NSAIDs, there is no clear scientific evidence linking ibuprofen and other NSAIDs to worsening of COVID-19;","there is no scientifc evidence that ibuprofen and other drugs like it, can make you sicker if you have covid-19","Supports",69,"Can taking medication to lower fever, such as paracetamol (tylenol) and ibuprofen (advil) worsen COVID-19?"
"223",2301,"stronger social distancing, e.g., cutting 75% of social ties, can reduce the outbreak by 75% for the C isolation, by 33% for the D isolation, and by 87% for the (C+D) isolation strategy.","Social Distancing Is Important to Combat COVID-19","Supports",10,"has social distancing had an impact on slowing the spread of COVID-19?"
"224",11175,"Most hospitals have implemented universal masking for their healthcare workers, and the Center for Disease Control currently advises even the general public to wear cloth masks when outdoors. The pertinent need for masks arises from plausible dissemination of the SARS-CoV-2 through close contacts, as well as the possibility of virus transmission from asymptomatic, pre-symptomatic, and mildly symptomatic individuals.","Masks can lead to pneumonia or other lung infections","Refutes",18,"what are the best masks for preventing infection by Covid-19?"
"225",7280,"When compared with exclusive paracetamol users, no differences were observed in mortality rates or the need for respiratory support among patients using ibuprofen.","if you are sick with covid-19, you should refrain from taking other painkillers, such as Aleve or Tylenol. there is no reason to treat a fever with any kind of fever-reducing drug.","Refutes",69,"Can taking medication to lower fever, such as paracetamol (tylenol) and ibuprofen (advil) worsen COVID-19?"
"226",9280,"SARS-CoV-2, identified in Wuhan, China, for the first time in December 2019, is a new viral strain, which has not been previously identified in humans; it can be transmitted both by air and via direct and indirect contact; however, the most frequent way it spreads is via droplets.","Ventilation and COVID-19: Reduce spread with proper airflow","Neutral",103,"How can I reduce the risk of getting COVID-19?"
"227",10961,"Surfaces near patients hospitalized with respiratory infections were frequently contaminated by pathogens, with Klebsiella pneumoniae being most common, highlighting the potential for transmission of respiratory pathogens via surfaces.","coronavirus can live on your clothes and shoes","Supports",16,"touching a contaminated surface will not make you sick"
"228",4622,"CONCLUSION The use of IV vitamin C in patients with moderate to severe COVID-19 disease may be feasible.","Vitamin D can Protect Me from Coronavirus","Neutral",51,"Does Vitamin C impact COVID-19 prevention and treatment?"
"229",7159,"the safety of ibuprofen in COVID-19 patients has been questioned due to anecdotal reports of worsening symptoms in previously healthy young adults.","There is no evidence that ibuprofen or other non-steroidal anti-inflammatory drugs can make COVID-19 cases more severe. ","Refutes",69,"Can taking medication to lower fever, such as paracetamol (tylenol) and ibuprofen (advil) worsen COVID-19?"
"230",5969,"In drawing things to a close, we explore the use of technologies such as the Internet of Things (IoT), Unmanned Aerial Vehicles (UAVs), blockchain, Artificial Intelligence (AI), and 5G, among others, to help mitigate the impact of COVID-19 outbreak.","Coronavirus: does 5G technology actually cause COVID-19 ? No","Refutes",56,"Can 5G technology cause COVID-19?"
"231",1036,"the temperature changes retarded the growth rate and found that -6.28{degrees}C and +14.51{degrees}C temperature is the favorable range for COVID-19 growth","Hot Weather May Make It Harder for Coronavirus to Survive.","Supports",2,"how does the coronavirus respond to changes in the weather"
"232",11203,"However, masks alone may not greatly slow down the COVID-19 pandemic unless they are coupled with adequate social distancing, diligent hand hygiene, and other proven preventive measures.","Two medical-grade masks, N99 and N95, are the most effective at filtering viral particles.","Neutral",18,"what are the best masks for preventing infection by Covid-19?"
"233",2691,"APs with COVID-19 still have certain period of viral shedding, which suggests the possibility of transmission during their asymptomatic period.","Covid-19 patients not showing symptoms may have similar amounts of the novel coronavirus in their bodies as those who do show symptoms","Neutral",27,"what is known about people that have COVID-19 without any symptoms?"
"234",4773,"Although COVID-19 can be rapidly diagnosed, efficient clinical treatment of COVID-19 remains unavailable, resulting in high fatality.","There's no evidence that taking vitamin C regularly can help prevent coronavirus or COVID-19.","Supports",51,"Does Vitamin C impact COVID-19 prevention and treatment?"
"235",12715,"In this study, we collected blood from COVID-19 patients who have recently become virus-free and therefore were discharged, and analyzed their SARS-CoV-2-specific antibody and T cell responses. We observed SARS-CoV-2-specific humoral and cellular immunity in the patients. Both were detected in newly discharged patients, suggesting both participate in immune-mediated protection to viral infection.","The Coronavirus Patients Betrayed by Their Own Immune Systems.","Neutral",3,"will SARS-CoV2 infected people develop immunity?"
"236",7477,"However, available data from limited studies show administration of recombinant ACE2 improves lung damage caused by respiratory viruses, suggesting ibuprofen use may be beneficial in COVID-19 disease. ","Some available medications can help alleviate mild to moderate COVID-19 symptoms","Supports",69,"Can taking medication to lower fever, such as paracetamol (tylenol) and ibuprofen (advil) worsen COVID-19?"
"237",11910,"As COVID-19 mortality occurs mainly in elderly and as Africa has a comparably young population, the death rates should be lower than on other continents. We calculated standardised mortality ratios (SMR) using age-specific case fatality rates for COVID-19 and the age structure of the population of Africa and of other continents. Compared to a European or Northern American population, the standardised mortality ratio was only 0.22 and 0.25, respectively, corresponding to reduction of deaths rates to a quarter. Compared to the Asian and Latin American & Caribbean population, the SMR was 0.43 and 0.44, respectively, corresponding to half the death rate for Africa.","Young people are not immune from coronavirus and must avoid socialising and communicating it to older more vulnerable people","Supports",21,"what are the mortality rates overall and in specific populations"
"238",8783,"Therefore, in this study, was discussed the role of environmental factors and conditions such as temperature, humidity, wind speed as well as food, water and sewage, air, insects, inanimate surfaces, and hands in COVID-19 transmission.","Does COVID-19 spread through food? Yes, it is possible","Neutral",90,"Can COVID-19 spread through food?"
"239",1422,"Preliminary observations from our team and others suggest that temperature and climatological factors could influence the spread of this novel coronavirus","The COVID-19 shutdown is making weather prediction more difficult","Neutral",2,"how does the coronavirus respond to changes in the weather"
"240",5060,"Dietary supplementation has not been linked to COVID-19 prevention. However, supplementation with vitamins C and D, as well as with zinc and selenium, was highlighted as potentially beneficial for individuals with, or at risk of, respiratory viral infections or for those in whom nutrient deficiency is detected.","Various studies over time have shown that vitamin C contains antioxidants that can help improve the body's ability to fight diseases, including COVID-19.","Refutes",51,"Does Vitamin C impact COVID-19 prevention and treatment?"
